Station;Long;Lat;X;Y;Z;G_Obs
2006;-75.3799;4.4921;4736012.927;2054799.148;2522.927;977481.2453
2007;-75.3734;4.465;4736730.728;2051808.04;2031.563;977584.2841
2008;-75.3754;4.469;4736502.388;2052249.049;2050.348;977581.08
2009;-75.3799;4.4672;4736001.536;2052046.85;2109.385;977572.3581
2010;-75.3856;4.4658;4735370.515;2051900.027;2182.301;977558.3644
2011;-75.387;4.4704;4735218.013;2052406.199;2242.922;977546.704
2012;-75.3883;4.4746;4735080.119;2052867.923;2256.031;977544.0623
2013;-75.3937;4.4768;4734477.959;2053115.721;2310.671;977529.2961
2014;-75.3784;4.454;4736167.6;2050592.115;1864.098;977615.8562
2015;-75.3827;4.4569;4735689.763;2050907.244;1953.49;977598.3486
2016;-75.3858;4.4605;4735344.716;2051313.901;1980.149;977595.919
2017;-75.3795;4.4583;4736046.435;2051059.847;1950.485;977599.2234
2018;-75.3813;4.4624;4735846.345;2051518.194;2030.948;977586.9141
2019;-75.3764;4.5143;4736415.271;2057257.359;2310.153;977523.646
2020;-75.3804;4.5123;4735967.175;2057033.915;2306.184;977525.0424
2021;-75.3835;4.508;4735624.297;2056565.111;2276.633;977530.4671
2022;-75.3886;4.5086;4735054.968;2056632.422;2323.795;977522.3319
2023;-75.3931;4.507;4734551.209;2056460.649;2294.368;977528.3612
2024;-75.3745;4.4983;4736619.755;2055485.311;2361.087;977515.9614
2025;-75.3737;4.4937;4736702.851;2054975.823;2397.092;977510.9616
2026;-75.3767;4.5013;4736371.076;2055823.504;2339.732;977519.4043
2027;-75.3793;4.5059;4736089.97;2056332.424;2324.452;977522.0485
3000;-75.3494;4.4547;4739386.962;2050652.905;1986.547;977593.3551
3001;-75.3384;4.4434;4740602.949;2049404.111;2133.285;977564.3099
3002;-75.3357;4.4468;4740909.309;2049772.675;2108.31;977568.1544
3003;-75.3389;4.4504;4740548.186;2050177.403;2083.56;977577.1002
3004;-75.3379;4.4545;4740667.382;2050631.095;2080.703;977575.6057
3005;-75.3349;4.4574;4741000.187;2050953.33;2006.705;977586.8625
3006;-75.3358;4.4619;4740902.532;2051445.846;1986.783;977587.7788
3007;-75.3538;4.4457;4738893.533;2049666.878;1788.367;977632.7803
3008;-75.3619;4.4424;4737989.629;2049294.807;1786.384;977634.2951
3009;-75.3467;4.4496;4739686.124;2050089.959;1800.746;977629.0566
3010;-75.3741;4.4435;4736637.182;2049429.066;1757.83;977636.0177
3011;-75.3309;4.4401;4741439.168;2049034.61;2409.244;977496.7918
3012;-75.331;4.4505;4741428.582;2050184.658;2402.272;977506.4688
3013;-75.3603;4.46;4738177.739;2051246.118;2213.993;977549.5302
3014;-75.3639;4.4604;4737779.958;2051289.244;2312.384;977528.4452
3015;-75.3658;4.4665;4737570.978;2051961.665;2494.082;977489.6755
3016;-75.3589;4.4714;4738341.79;2052508.728;2573.362;977473.4708
3017;-75.3528;4.4685;4739015.414;2052184.19;2108.649;977564.3176
3018;-75.3288;4.4595;4741675.122;2051182.9;2246.617;977542.1482
3019;-75.3283;4.4685;4741733.449;2052171.143;2303.026;977525.7573
3020;-75.3347;4.4695;4741019.215;2052282.191;2328.19;977521.6675
3021;-75.3506;4.4619;4739259.371;2051453.813;2066.068;977576.0084
3022;-75.3539;4.4624;4738887.681;2051506.802;2179.803;977549.4836
3023;-75.3437;4.4639;4740019.008;2051673.049;2339.895;977519.8658
3024;-75.3415;4.4585;4740260.711;2051069.569;2014.666;977585.9545
3025;-75.3457;4.4563;4739795.423;2050836.891;2008.001;977588.4678
73124018;-75.4172;4.4422;4731859.783;2049294.485;1832.207;977623.5576
73124019;-75.4009;4.4375;4733663.918;2048772.27;1797.176;977629.5971
