Station;Long;Lat;X;Y;Z;G_Obs;GRS1980_(gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;Corr_terr_limpia;ABT;ARegB;AResB
1018;-75.4087;4.523;4732827.547;2058229.955;2010.975;977570.055;978064.8098996925;-620.5868849999999;125.8319853075111;-225.33389705882382;221.69009907648993;-95.85811376897882;2.6300245002230516;17.117665661607827;108.71431964590032;-78.740448107371;-62.80187593903942;-15.938572168331575
1019;-75.4227;4.4528;4731248.428;2050471.747;2111.11;977570.0439;978063.8228660844;-651.488546;157.70957991564455;-125.1988970588236;232.72899218606332;-75.01941227041877;2.6300245002230516;19.222950713728036;138.48662920189514;-55.79646155669073;-62.153839568161544;6.357378011470814
1020;-75.4159;4.4597;4732006.467;2051236.834;2137.603;977564.3753;978063.9192035198;-659.6642858;160.1203822801349;-98.70589705882367;235.6495833395254;-75.52920105939052;2.6300245002230516;19.458629213138202;140.66175306695075;-56.070571846252314;-62.168185698762485;6.097613852510172
1021;-75.4072;4.4618;4732973.322;2051464.868;2235.471;977551.7363;978063.9485529804;-689.8663505999999;177.65409761955254;-0.837897058823728;246.43856212664008;-68.78446450708753;2.6300245002230516;20.178924922621327;157.47517269696158;-48.60553958446621;-62.10462776877391;13.499088184307702
1022;-75.3992;4.4577;4733859.664;2051002.088;2317.256;977524.4414;978063.8912643956;-715.1052015999999;175.655337204455;80.94710294117613;255.45454927365617;-79.79921206920116;2.6300245002230516;19.022919751638817;156.63241745281937;-60.776292317562344;-61.98140810981019;1.2051157922478453
1023;-75.4113;4.4693;4732526.472;2052295.011;2380.482;977520.0213;978064.053484371;-734.6167452;190.58456082897374;144.17310294117624;262.4245902757622;-71.84002944678849;2.6300245002230516;19.863115714031984;170.72144511494994;-51.97691373275651;-62.20110858172819;10.224194848971685
1024;-75.4138;4.4776;4732243.642;2053211.359;2427.719;977507.5723;978064.1698122293;-749.1940834;192.59657117065422;191.41010294117632;267.6320022078231;-75.0354310371689;2.6300245002230516;19.532726642735703;173.06384452787282;-55.5027043944332;-62.30579023948057;6.80308584504737
1025;-75.4155;4.4881;4732063.661;2054370.089;2406.571;977507.7159;978064.3172807139;-742.6678105999999;186.06642988601743;170.26210294117618;265.30064442601594;-79.2342145399985;2.6300245002230516;19.089244798917537;166.97718508711807;-60.14496974108097;-62.43481009624871;2.2898403551677404
1026;-75.414;4.4989;4732230.822;2055571.526;2325.947;977520.4187;978064.46932002;-717.7872442;173.73662417998207;89.63810294117638;256.41264604317035;-82.67602186318828;2.6300245002230516;18.669716423248417;155.0669077567416;-64.00630543993987;-62.54913742146985;-1.4571680184700142
1027;-75.3951;4.4502;4734317.403;2050170.414;2098.681;977573.3907;978063.7866034079;-647.6529565999999;157.25705319205463;-137.6278970588237;231.35881789676498;-74.10176470471035;2.6300245002230516;19.547925770648487;137.70912742135795;-54.55383893406186;-61.89259356724102;7.338754633179164
1028;-75.3853;4.4447;4735398.749;2049562.198;2116.528;977565.6238;978063.7099631357;-653.1605407999999;155.07437766428882;-119.78089705882394;233.32627308552568;-78.25189542123687;2.6300245002230516;18.908787987421587;136.16558967682687;-59.34310743381528;-61.74770960713499;2.4046021733197165
1029;-75.3917;4.4425;4734691.326;2049322.013;1788.618;977632.8437;978063.6793333543;-551.9675148;121.13188144562207;-447.6908970588238;197.1774396151087;-76.04555816948664;2.6300245002230516;18.902372155542533;102.22950929010375;-57.1431860139441;-61.81958458429037;4.676398570346265
1030;-75.4053;4.4506;4733186.203;2050226.421;1753.793;977636.6684;978063.7921809135;-541.2205197999999;114.09673888646535;-482.51589705882384;193.33832789052798;-79.24158900406263;2.6300245002230516;19.00897459173924;95.08776429469813;-60.23261441232339;-62.02828877280946;1.7956743604860677
1031;-75.413;4.4512;4732321.881;2050289.612;1816.68;977624.3366;978063.8005481045;-560.627448;121.1634998955858;-419.62889705882367;200.2709974963775;-79.1074976007917;2.6300245002230516;18.97480663211048;102.1886932634892;-60.132690968681224;-62.09228417326206;1.959593204580834
1032;-75.4308;4.4479;4730347.029;2049937.605;2047.998;977581.4804;978063.7545424008;-632.0121828;149.73804039917275;-188.31089705882368;225.77151855614974;-76.033478156977;2.6300245002230516;17.683647496353984;132.0543929028016;-58.34983066062301;-62.17742613412592;3.8275954735029103
1033;-75.4162;4.5188;4731998.374;2057771.731;2334.807;977517.8691;978064.7504157102;-720.5214401999999;173.64012448986045;98.49810294117606;257.3893733907593;-83.74924890089886;2.6300245002230516;18.316483732242073;155.32364075766046;-65.43276516865679;-62.777868493412456;-2.6548966752443306
1034;-75.4247;4.5207;4731053.774;2057981.394;2634.844;977458.7236;978064.7773183418;-813.1128583999999;207.05914005825264;398.5351029411763;290.46548436012137;-83.40634430186873;2.6300245002230516;18.12743921689382;188.9317008413405;-65.27890508497491;-62.829573122191235;-2.449331962783674
1035;-75.4197;4.5261;4731606.7;2058581.933;2193.644;977540.0651;978064.8538396927;-676.9585384;152.16979870734735;-42.664897058823954;241.82754917318596;-89.6577504658386;2.6300245002230516;16.936092798511417;135.23370590884525;-72.72165766732718;-62.90404954680679;-9.81760812052039
1036;-75.4238;4.5144;4731154.25;2057283.326;2646.374;977458.6535;978064.6881579433;-816.6710163999999;210.63635845670456;410.06510294117606;291.7365527932704;-81.10019433656583;2.6300245002230516;18.538729570653565;192.09762888603257;-62.56146476591227;-62.75344599908429;0.19198123317202231
1037;-75.4224;4.4991;4731303.75;2055593.762;2885.666;977410.3691;978064.4721389808;-890.5165276;236.41348861925803;649.3571029411764;318.11612846587275;-81.70263984661472;2.6300245002230516;18.585691164349566;217.8277974549128;-63.116948682265146;-62.54804112017091;-0.568907562094239
1038;-75.4223;4.4904;4731308.913;2054631.418;2949.058;977399.9426;978064.3496290791;-910.0792988;245.67226972084302;712.7491029411763;325.1044693257327;-79.43219960488966;2.6300245002230516;18.80985691954161;226.86241280127538;-60.62234268534805;-62.44643767080866;1.8240949854606114
1039;-75.4217;4.4806;4731369.286;2053546.074;2672.678;977460.6962;978064.2119111205;-824.7884307999999;221.2727196795537;436.36910294117615;294.63630856651866;-73.36358888696498;2.6300245002230516;19.467438528071956;201.80528115144477;-53.896150358893024;-62.37264116774563;8.476490808852603
1040;-75.4217;4.4728;4731367.498;2052678.497;3007.929;977380.5015;978064.1025121814;-928.2468894;244.64587721862574;771.6201029411764;331.59441466206556;-86.94853744343982;2.6300245002230516;18.099245750277667;226.54663146829475;-68.84929169316214;-62.24509999552592;-6.6041916976362245
1041;-75.4241;4.4633;4731098.753;2051639.218;2655.509;977460.1013;978063.9695252725;-819.4900774;215.62185212748795;419.2001029411763;292.74359617027096;-77.121744042783;2.6300245002230516;18.91896382359949;196.70288830388643;-58.202780219183516;-62.209516205397335;4.006735986213819
1042;-75.4156;4.5056;4732059.777;2056312.42;2402.232;977505.6279;978064.5638228742;-741.3287952;182.39287232574577;165.92310294117624;264.822312601954;-82.42944027620825;2.6300245002230516;18.621262192299188;163.7716101334276;-63.80817808390907;-62.62371723716777;-1.1844608467413025
1043;-75.4177;4.4676;4731805.387;2052110.459;2660.153;977457.156;978064.0296846002;-820.9232157999999;214.04953119977142;423.84410294117606;293.255551226953;-79.20602002718158;2.6300245002230516;18.931578411017917;195.1179527887186;-60.274441616163664;-62.201643542017024;1.9272019258533604
1044;-75.3847;4.5238;4735495.705;2058312.305;2927.404;977398.6714;978064.821236189;-903.3968744;237.24703821100286;691.0951029411763;322.71733004980814;-85.47029183880528;2.6300245002230516;17.887379995702545;219.35965821527247;-67.58291184310274;-62.48618904965004;-5.096722793452699
1045;-75.3896;4.5163;4734944.968;2057477.152;2737.342;977435.7248;978064.7150345996;-844.7437412;215.75350660031847;501.03310294117637;301.7648748424208;-86.01136824210232;2.6300245002230516;18.28367963372556;197.46982696654914;-67.72768860837677;-62.47292062127738;-5.254767987099385
1046;-75.3626;4.5235;4737941.901;2058269.897;2366.585;977508.0421;978064.8169847698;-730.328131;173.55324623019055;130.2761029411763;260.8925835094593;-87.33933727926876;2.6300245002230516;17.73770178997955;155.8155444402567;-69.60163548928921;-62.36725089859999;-7.234384590689217
1047;-75.3685;4.5179;4737288.606;2057646.187;2333.425;977518.4959;978064.7376762733;-720.094955;173.853178726647;97.11610294117645;257.2370215629526;-83.38384283630558;2.6300245002230516;18.405495299548775;155.44768342707687;-64.9783475367568;-62.36198507707843;-2.6163624596783706
1048;-75.369;4.513;4737230.933;2057108.424;2353.172;977516.9607;978064.6683612685;-726.1888792;178.48121793158225;116.8631029411763;259.4139329549209;-80.93271502333863;2.6300245002230516;18.81838500324046;159.66283292836636;-62.114330020098166;-62.31207905956879;0.19774903947062228
1049;-75.3768;4.5218;4736366.573;2058089.337;2603.956;977464.8784;978064.7928986764;-803.5808216;203.66632292368695;367.6471029411764;287.0603879366081;-83.39406501292115;2.6300245002230516;18.26378377787822;185.40253914585284;-65.13028123504293;-62.44033634719216;-2.6899448878507712
1050;-75.3824;4.5155;4735742.963;2057391.357;2505.518;977485.5188;978064.7037167455;-773.2028548;194.0179380544779;269.2091029411763;276.2085722885311;-82.19063423405322;2.6300245002230516;18.615693531882556;175.40224452263342;-63.574940702170665;-62.433874266616414;-1.1410664355542508
1051;-75.4027;4.5269;4733492.531;2058664.55;2403.849;977499.9649;978064.8651838943;-741.8278014;176.9275175057312;167.54010294117643;265.0005708548944;-88.07305334916322;2.6300245002230516;16.861775792000962;160.0657417137109;-71.21127755716225;-62.74120871081527;-8.470068846346976
1052;-75.3934;4.5137;4734522.756;2057196.507;2545.61;977476.1045;978064.6782588445;-785.575246;197.00148715548096;309.3011029411764;280.62831865642465;-83.6268315009437;2.6300245002230516;18.543474819783963;178.45801233566095;-65.08335668115973;-62.503142230127025;-2.5802144510327025
1053;-75.3987;4.5151;4733938.999;2057352.923;2369.157;977508.7987;978064.6980585642;-731.1218502;175.22249163582717;132.84810294117642;261.17612106453817;-85.953629428711;2.6300245002230516;18.299151709358824;156.92333992646573;-67.65447771935217;-62.585750941233954;-5.068726778118219
1054;-75.3728;4.4893;4736804.04;2054489.85;2442.736;977503.2102;978064.3341560708;-753.8283296;192.70437352913632;206.42710294117614;269.2874778939115;-76.58310436477518;2.6300245002230516;19.412333064637476;173.29204046454342;-57.1707713001377;-62.080176825373314;4.909405525235613
1055;-75.3721;4.4848;4736881.365;2053996.613;2542.674;977485.9868;978064.2708965568;-784.6691963999999;206.38509984316784;306.36510294117625;280.30465370241546;-73.91955385924763;2.6300245002230516;19.7414246514278;186.64367519171662;-54.17812920781983;-62.01358437814217;7.835455170322341
1056;-75.3937;4.464;4734476.462;2051704.983;1649.988;977645.8979;978063.9793147354;-509.1862968;91.10488206458962;-586.3208970588237;181.89485358844317;-90.78997152385355;2.6300245002230516;18.106024072426752;72.99885799219794;-72.6839474514268;-62.08836434239687;-10.595583109029931
1057;-75.3998;4.4706;4733798.979;2052430.164;1726.835;977633.1084;978064.0716902565;-532.901281;101.93799074355195;-509.4738970588237;190.3664750873335;-88.42848434378155;2.6300245002230516;18.226305528222372;83.7116852153281;-70.20217881555918;-62.201521353649284;-8.000657461909896
1058;-75.4027;4.4794;4733478.172;2053402.827;1759.402;977618.9411;978064.1950682077;-542.9514571999999;97.69748899236868;-476.9068970588237;193.9566646504181;-96.25917565804943;2.6300245002230516;17.354523745449903;80.34296524690865;-78.90465191259952;-62.31701068364569;-16.587641228953828
1059;-75.4061;4.4864;4733110.089;2054181.265;1903.289;977595.6017;978064.2933816188;-587.3549853999999;118.66330378119767;-333.01989705882374;209.8187829193269;-91.15547913812924;2.6300245002230516;17.893952832016417;100.76935094916794;-73.26152630611281;-62.40239949302094;-10.859126813091876
1060;-75.4086;4.4956;4732829.657;2055198.699;1931.298;977589.7657;978064.4228251099;-595.9985628;121.34143769007687;-305.01089705882373;212.90649807492727;-91.5650603848504;2.6300245002230516;17.870743072270262;103.47069461780616;-73.69431731258014;-62.51907643274869;-11.175240879831449
1061;-75.3897;4.4877;4734926.503;2054321.067;2741.795;977426.0208;978064.3116565895;-846.117937;207.8270804105532;505.48610294117634;302.25577403867516;-94.42869362812195;2.6300245002230516;17.581776458903036;190.2453039516529;-76.84691716921891;-62.169249186315156;-14.677667982903756
1062;-75.3841;4.4889;4735544.745;2054446.675;2739.027;977427.2135;978064.3285304545;-845.2637321999999;208.1487017454118;502.7181029411763;301.95062942263377;-93.80192767722195;2.6300245002230516;17.69346668623315;190.45523505920153;-76.1084609909888;-62.13457101813363;-13.973889972855176
1063;-75.3682;4.4869;4737306.612;2054228.624;2746.043;977439.6266;978064.3004098322;-847.4288698;222.7550599678052;509.7341029411764;302.72407401300444;-79.96901404519923;2.6300245002230516;19.064312865815904;203.6907471019329;-60.90470117938332;-61.977471060487474;1.0727698811041506
1064;-75.3642;4.486;4737759.069;2054119.666;2743.035;977443.16;978064.2877596073;-846.500601;225.372841392724;506.7261029411761;302.39247177129477;-77.01963037857075;2.6300245002230516;19.352703324376105;206.02013806838406;-57.666927054194645;-61.932473177807324;4.26554612361268
1065;-75.3677;4.4822;4737370.234;2053706.813;2666.084;977460.8315;978064.2343752988;-822.7535224;219.35064710113295;429.7751029411761;293.9093853012815;-74.55873820014853;2.6300245002230516;19.619900423905694;199.73074667727306;-54.938837776242835;-61.93212725817699;6.993289481934156
1066;-75.3706;4.4783;4737041.309;2053274.724;2572.207;977477.9025;978064.1796328023;-793.7830802;207.50594739770634;335.89810294117615;283.56037478100967;-76.05442738330333;2.6300245002230516;19.53046364180084;187.97548375587172;-56.5239637415025;-61.92736392883485;5.403400187332352
1067;-75.3726;4.4745;4736823.41;2052857.419;2418.703;977508.6994;978064.1263394258;-746.4117458;190.9848063742428;182.39410294117624;266.63807740354974;-75.65327102930695;2.6300245002230516;19.53467734029115;171.45012903400632;-56.118593689015796;-61.92298622968521;5.8043925406694115
1068;-75.3719;4.4611;4736892.005;2051368.316;2070.911;977577.5776;978063.9387683038;-639.0831346;152.7219662961238;-165.39789705882367;228.297450126726;-75.5754838306022;2.6300245002230516;19.49095244499608;133.23101385108907;-56.08453138560611;-61.81615766797651;5.731626282370399
1069;-75.3698;4.4569;4737122.248;2050902.697;2046.454;977582.2191;978063.880092227;-631.5357044;149.87471217297093;-189.85489705882378;225.60130783101684;-75.72659565804591;2.6300245002230516;19.453567579177953;130.42114459383413;-56.27302807886795;-61.75579322129033;5.48276514242238
1070;-75.3655;4.4537;4737596.823;2050550.841;2020.341;977588.2204;978063.835423445;-623.4772326;147.86220915501121;-215.96789705882384;222.72260791819625;-74.86039876318503;2.6300245002230516;19.511798876039293;128.35041027895215;-55.34859988714574;-61.68785741611309;6.339257528967352
1071;-75.3613;4.4536;4738065.426;2050535.177;1929.967;977604.1039;978063.8340280583;-595.5878162;135.85768814165124;-306.34189705882363;212.75976849257503;-76.9020803509238;2.6300245002230516;19.394418357541074;116.46326978409641;-57.507661993382726;-61.66139242563182;4.153730432249091
1072;-75.3823;4.4813;4735749.071;2053611.375;2417.413;977505.1292;978064.2217382197;-746.0136517999999;186.92111358023976;181.10410294117628;266.49586766558247;-79.5747540853427;2.6300245002230516;19.115218918228432;167.80589466200405;-60.45953516711427;-62.07905518263229;1.6195200155180203
1073;-75.3848;4.4778;4735465.024;2053225.941;2405.89;977509.1817;978064.1726179519;-742.4576539999999;187.4667360480836;169.58110294117614;265.2255709131821;-77.75883486509849;2.6300245002230516;19.43420141035207;168.0325346377587;-58.32463345474642;-62.06477092841068;3.7401374736642623
1074;-75.3832;4.4734;4735636.843;2052739.402;2390.515;977516.4443;978064.1109207715;-737.7129289999999;190.04630822848287;154.20610294117614;263.53062926880506;-73.48432104032219;2.6300245002230516;19.861320754455132;170.1849874740581;-53.62300028586705;-62.0061569792813;8.38315669341425
1075;-75.3891;4.5042;4734999.861;2056142.294;2315.961;977520.2018;978064.5440644809;-714.7055645999999;170.36330011911105;79.65210294117605;255.31178833515418;-84.94848821604313;2.6300245002230516;18.532294233482926;151.8310058855781;-66.4161939825602;-62.39492128893937;-4.02127269362083
1076;-75.3557;4.4545;4738690.03;2050631.249;1884.28;977608.699;978063.8465876566;-581.488808;126.3412203433744;-352.02889705882376;207.7232287262887;-81.38200838291431;2.6300245002230516;18.860690239991374;107.48053010337769;-62.52131814292294;-61.62812620334908;-0.8931919395738532
1077;-75.3517;4.4519;4739132.767;2050349.165;1903.57;977607.2473;978063.8103112415;-587.441702;130.8786907585053;-332.7388970588238;209.84976038938024;-78.97106963087495;2.6300245002230516;19.014890345350153;111.86380041313706;-59.9561792855248;-61.56357133611927;1.6073920505944699
2000;-75.3801;4.4853;4735995.141;2054055.317;2535.127;977480.179;978064.277922284;-782.3401921999999;198.24126991602918;298.8181029411762;279.47267161525366;-81.23140169922448;2.6300245002230516;18.894746141375354;179.34652377468782;-62.33665555784913;-62.08827755205451;-0.24837800579462055
2001;-75.3954;4.4802;4734295.394;2053488.413;2380.486;977514.4367;978064.2062963189;-734.6179795999999;184.84838328105275;144.17710294117614;262.42503123619;-77.57664795513728;2.6300245002230516;19.317174052104335;165.53120922892634;-58.25947390303294;-62.18296194983235;3.923488046799406
2002;-75.395;4.4855;4734342.082;2054074.614;2390.125;977509.9132;978064.2807327925;-737.592575;183.22504220749886;153.81610294117627;263.48763562709405;-80.26259341959519;2.6300245002230516;19.106517641894868;164.11852456562093;-61.15607577770032;-62.2351708092509;1.0790950315505796
2003;-75.3925;4.4936;4734621.797;2054975.716;2417.916;977503.6807;978064.3946628465;-746.1688776;185.45491475356437;181.60710294117644;266.55131843937903;-81.09640368581466;2.6300245002230516;18.99440696999511;166.460507783563;-62.10199671581955;-62.29768895454109;0.1956922387215343
2004;-75.3881;4.4948;4735104.045;2055107.941;2454.086;977494.2288;978064.4115587131;-757.3309395999999;187.14818088697518;217.77710294117605;270.5387031078093;-83.3905222208341;2.6300245002230516;18.78089524202632;168.36728564496033;-64.60962697880778;-62.26898935413833;-2.340637624669455
2005;-75.3847;4.4922;4735482.152;2054814.803;2512.749;977481.59;978064.3749566578;-775.4343413999999;192.6493847422065;276.44010294117606;277.0057185018963;-84.35633375968979;2.6300245002230516;18.45995740219151;174.18942734006194;-65.89637635749828;-62.20410846046728;-3.6922678970310017
2006;-75.3799;4.4921;4736012.927;2054799.148;2522.927;977481.2453;978064.3735493058;-778.5752722;195.44702289411748;286.6181029411764;278.12774231044716;-82.68071941632968;2.6300245002230516;18.667267209874;176.77975568429054;-64.01345220645568;-62.160631110193194;-1.8528210962624883
2007;-75.3734;4.465;4736730.728;2051808.04;2031.563;977584.2841;978063.9933023241;-626.9403418;147.23113947595982;-204.74589705882363;223.95972239840432;-76.7285829224445;2.6300245002230516;19.510964454726523;127.72017502121886;-57.21761846771798;-61.8766655167677;4.659047049049718
2008;-75.3754;4.469;4736502.388;2052249.049;2050.348;977581.08;978064.0492837589;-632.7373928;149.76810904110448;-185.96089705882378;226.03058280748542;-76.26247376638094;2.6300245002230516;19.529040331250645;130.23906870989907;-56.733433435130294;-61.935053975648415;5.201620540518121
2009;-75.3799;4.4672;4736001.536;2052046.85;2109.385;977572.3581;978064.0240859595;-650.956211;159.29022504041802;-126.92389705882351;232.53882800157226;-73.24860296115423;2.6300245002230516;19.84545860558592;139.44476643481448;-53.403144355568315;-61.9462948591637;8.543150503595385
2010;-75.3856;4.4658;4735370.515;2051900.027;2182.301;977558.3644;978064.004494633;-673.4580886;167.81799396701865;-54.0078970588238;240.57709564003682;-72.75910167301817;2.6300245002230516;19.937418207737892;147.88057575924108;-52.82168346528027;-61.97108164760836;9.149398182328085
2011;-75.387;4.4704;4735218.013;2052406.199;2242.922;977546.704;978064.0688890091;-692.1657292;174.8008401909592;6.613102941176294;247.25996116353457;-72.45912097257536;2.6300245002230516;19.957297017154627;154.8435431738064;-52.50182395542073;-62.024536020367066;9.522712064946333
2012;-75.3883;4.4746;4735080.119;2052867.923;2256.031;977544.0623;978064.1277413084;-696.2111666;176.14572529157329;19.722102941176217;248.70509872555982;-72.55937343398654;2.6300245002230516;19.858897964717627;156.28682732685394;-52.70047546926891;-62.07849818231114;9.378022713042228
2013;-75.3937;4.4768;4734477.959;2053115.721;2310.671;977529.2961;978064.1585905822;-713.0730705999999;178.2105800178365;74.36210294117609;254.72861816938152;-76.51803815154503;2.6300245002230516;19.53041779714978;158.68016222073356;-56.98762035439525;-62.14169471887364;5.15407436447839
2014;-75.3784;4.454;4736167.6;2050592.115;1864.098;977615.8562;978063.8396097912;-575.2606427999999;127.27723300886282;-372.2108970588238;205.49836288779656;-78.22112987893374;2.6300245002230516;19.212412855547807;108.06482015332956;-59.00871702338593;-61.82184117740745;2.813124154021523
2015;-75.3827;4.4569;4735689.763;2050907.244;1953.49;977598.3486;978063.880092227;-602.847014;137.31552177301;-282.8188970588237;215.3529465283916;-78.03742475538161;2.6300245002230516;19.247859960352205;118.0676618127151;-58.789564795029406;-61.878273934887474;3.088709139858068
2016;-75.3858;4.4605;4735344.716;2051313.901;1980.149;977595.919;978063.9303826506;-611.0739814;143.062598749416;-256.15989705882384;218.29183753960763;-75.22923879019163;2.6300245002230516;19.489801740195418;123.57279700921774;-55.73943704999621;-61.94131702192243;6.201879971926218
2017;-75.3795;4.4583;4736046.435;2051059.847;1950.485;977599.2234;978063.8996448275;-601.919671;137.24342617254695;-285.82389705882383;215.02167500700278;-77.77824883445584;2.6300245002230516;19.256575889542702;117.98685028298571;-58.521672944913135;-61.86622448187266;3.3445515369595284
2018;-75.3813;4.4624;4735846.345;2051518.194;2030.948;977586.9141;978063.956941058;-626.7505528;149.70771174200843;-205.36089705882364;223.89192473262923;-74.18421299062081;2.6300245002230516;19.610154747799147;130.09755699422757;-54.574058242821664;-61.91639159251072;7.342333349689056
2019;-75.3764;4.5143;4736415.271;2057257.359;2310.153;977523.646;978064.6867436928;-712.9132157999999;171.8724721071054;73.84410294117606;254.67151379398072;-82.79904168687531;2.6300245002230516;18.62924826033187;153.2432238467293;-64.16979342654344;-62.394776510501586;-1.7750169160418494
