Station;Long;Lat;X;Y;Z;G_Obs;GRS1980 (gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;ABT;DDZ;_Distance;ARB
1027;-75.3951;4.4502;4734317.403;2050170.414;2098.681;977573.3907;978063.7866;-647.6529566;157.2570532;-137.6278971;231.3588179;-74.1017647;2.6300245;16.1065;-57.97;0.00076;53970.1;1.1
1028;-75.3853;4.4447;4735398.749;2049562.198;2116.528;977565.6238;978063.71;-653.1605408;155.0743777;-119.7808971;233.3262731;-78.25189542;2.6300245;17.3002;-60.93;0.00026;55211;-0.95
1029;-75.3917;4.4425;4734691.326;2049322.013;1788.618;977632.8437;978063.6793;-551.9675148;121.1318814;-447.6908971;197.1774396;-76.04555817;2.6300245;15.9768;-60.05;-0.00097;55958.2;-0.42
1030;-75.4053;4.4506;4733186.203;2050226.421;1753.793;977636.6684;978063.7922;-541.2205198;114.0967389;-482.5158971;193.3383279;-79.241589;2.6300245;19.5201;-59.7;-0.00033;57714.5;-1.24
1031;-75.413;4.4512;4732321.881;2050289.612;1816.68;977624.3366;978063.8005;-560.627448;121.1634999;-419.6288971;200.2709975;-79.1074976;2.6300245;19.9929;-59.09;-0.00164;58581.3;-1.1
1032;-75.4308;4.4479;4730347.029;2049937.605;2047.998;977581.4804;978063.7545;-632.0121828;149.7380404;-188.3108971;225.7715186;-76.03347816;2.6300245;18.3469;-57.66;0.00237;60587.6;-0.93
1033;-75.4162;4.5188;4731998.374;2057771.731;2334.807;977517.8691;978064.7504;-720.5214402;173.6401245;98.49810294;257.3893734;-83.7492489;2.6300245;17.5989;-66.13;-0.00467;68595.3;-1.41
1034;-75.4247;4.5207;4731053.774;2057981.394;2634.844;977458.7236;978064.7773;-813.1128584;207.0591401;398.5351029;290.4654844;-83.4063443;2.6300245;19.2249;-64.16;0.00284;69563.1;-0.54
1035;-75.4197;4.5261;4731606.7;2058581.933;2193.644;977540.0651;978064.8538;-676.9585384;152.1697987;-42.66489706;241.8275492;-89.65775047;2.6300245;21.0847;-68.55;-0.00438;70379.6;-3.08
1036;-75.4238;4.5144;4731154.25;2057283.326;2646.374;977458.6535;978064.6882;-816.6710164;210.6363585;410.0651029;291.7365528;-81.10019434;2.6300245;20.1625;-60.91;-0.00163;71755;1.5
1037;-75.4224;4.4991;4731303.75;2055593.762;2885.666;977410.3691;978064.4721;-890.5165276;236.4134886;649.3571029;318.1161285;-81.70263985;2.6300245;23.9474;-57.73;0.00422;73451.5;2.15
1038;-75.4223;4.4904;4731308.913;2054631.418;2949.058;977399.9426;978064.3496;-910.0792988;245.6722697;712.7491029;325.1044693;-79.4321996;2.6300245;24.6433;-54.77;0.00191;74414;3.52
1039;-75.4217;4.4806;4731369.286;2053546.074;2672.678;977460.6962;978064.2119;-824.7884308;221.2727197;436.3691029;294.6363086;-73.36358889;2.6300245;20.2779;-53.06;0.00176;75501.2;3.99
1040;-75.4217;4.4728;4731367.498;2052678.497;3007.929;977380.5015;978064.1025;-928.2468894;244.6458772;771.6201029;331.5944147;-86.94853744;2.6300245;31.2301;-55.69;0.00026;76369;1.21
1041;-75.4241;4.4633;4731098.753;2051639.218;2655.509;977460.1013;978063.9695;-819.4900774;215.6218521;419.2001029;292.7435962;-77.12174404;2.6300245;22.7873;-54.31;0.00084;77442.6;2.17
1042;-75.4156;4.5056;4732059.777;2056312.42;2402.232;977505.6279;978064.5638;-741.3287952;182.3928723;165.9231029;264.8223126;-82.42944028;2.6300245;19.8453;-62.56;-0.00276;82214.5;-0.05
1043;-75.4177;4.4676;4731805.387;2052110.459;2660.153;977457.156;978064.0297;-820.9232158;214.0495312;423.8441029;293.2555512;-79.20602003;2.6300245;25.2343;-53.95;0.00269;86424.9;2.81
1044;-75.3847;4.5238;4735495.705;2058312.305;2927.404;977398.6714;978064.8212;-903.3968744;237.2470382;691.0951029;322.71733;-85.47029184;2.6300245;18.0491;-67.4;-0.00571;93643;-0.51
1045;-75.3896;4.5163;4734944.968;2057477.152;2737.342;977435.7248;978064.715;-844.7437412;215.7535066;501.0331029;301.7648748;-86.01136824;2.6300245;18.0287;-67.96;-0.00198;94643.6;-1.32
1046;-75.3626;4.5235;4737941.901;2058269.897;2366.585;977508.0421;978064.817;-730.328131;173.5532462;130.2761029;260.8925835;-87.33933728;2.6300245;20.2873;-67.03;-0.00171;97744.2;-0.45
1047;-75.3685;4.5179;4737288.606;2057646.187;2333.425;977518.4959;978064.7377;-720.094955;173.8531787;97.11610294;257.2370216;-83.38384284;2.6300245;17.1538;-66.21;-0.00166;98647.6;-0.08
1048;-75.369;4.513;4737230.933;2057108.424;2353.172;977516.9607;978064.6684;-726.1888792;178.4812179;116.8631029;259.413933;-80.93271502;2.6300245;18.1684;-62.74;0.00251;99188.6;1.98
1049;-75.3768;4.5218;4736366.573;2058089.337;2603.956;977464.8784;978064.7929;-803.5808216;203.6663229;367.6471029;287.0603879;-83.39406501;2.6300245;16.8361;-66.54;0.0029;100496.2;-0.12
1050;-75.3824;4.5155;4735742.963;2057391.357;2505.518;977485.5188;978064.7037;-773.2028548;194.0179381;269.2091029;276.2085723;-82.19063423;2.6300245;15.5071;-66.66;-0.00123;101432.4;-0.39
1051;-75.4027;4.5269;4733492.531;2058664.55;2403.849;977499.9649;978064.8652;-741.8278014;176.9275175;167.5401029;265.0005709;-88.07305335;2.6300245;17.5607;-70.49;-0.0014;104018.5;-3.32
1052;-75.3934;4.5137;4734522.756;2057196.507;2545.61;977476.1045;978064.6783;-785.575246;197.0014872;309.3011029;280.6283187;-83.6268315;2.6300245;15.3623;-68.24;-0.00011;105812.3;-1.68
1053;-75.3987;4.5151;4733938.999;2057352.923;2369.157;977508.7987;978064.6981;-731.1218502;175.2224916;132.8481029;261.1761211;-85.95362943;2.6300245;15.8813;-70.05;-0.00229;106416.8;-3.47
1054;-75.3728;4.4893;4736804.04;2054489.85;2442.736;977503.2102;978064.3342;-753.8283296;192.7043735;206.4271029;269.2874779;-76.58310436;2.6300245;15.5398;-61.02;-0.00358;110468;2.01
1055;-75.3721;4.4848;4736881.365;2053996.613;2542.674;977485.9868;978064.2709;-784.6691964;206.3850998;306.3651029;280.3046537;-73.91955386;2.6300245;12.2999;-61.6;-0.00499;110967.3;1.2
1056;-75.3937;4.464;4734476.462;2051704.983;1649.988;977645.8979;978063.9793;-509.1862968;91.10488206;-586.3208971;181.8948536;-90.78997152;2.6300245;33.7194;-57.05;0.00247;114289.9;2.12
1057;-75.3998;4.4706;4733798.979;2052430.164;1726.835;977633.1084;978064.0717;-532.901281;101.9379907;-509.4738971;190.3664751;-88.42848434;2.6300245;31.3302;-57.07;0.00178;115282.5;1.91
1058;-75.4027;4.4794;4733478.172;2053402.827;1759.402;977618.9411;978064.1951;-542.9514572;97.69748899;-476.9068971;193.9566647;-96.25917566;2.6300245;38.2937;-57.94;0.00137;116306.9;1.81
1059;-75.4061;4.4864;4733110.089;2054181.265;1903.289;977595.6017;978064.2934;-587.3549854;118.6633038;-333.0198971;209.8187829;-91.15547914;2.6300245;29.9327;-61.2;0.00368;117168.1;-0.25
1060;-75.4086;4.4956;4732829.657;2055198.699;1931.298;977589.7657;978064.4228;-595.9985628;121.3414377;-305.0108971;212.9064981;-91.56506038;2.6300245;29.4189;-62.12;0.00132;118223.7;-0.19
1061;-75.3897;4.4877;4734926.503;2054321.067;2741.795;977426.0208;978064.3117;-846.117937;207.8270804;505.4861029;302.255774;-94.42869363;2.6300245;22.0989;-72.31;-0.0077;120497.2;-7.57
1062;-75.3841;4.4889;4735544.745;2054446.675;2739.027;977427.2135;978064.3285;-845.2637322;208.1487017;502.7181029;301.9506294;-93.80192768;2.6300245;19.8959;-73.88;-0.0092;121128.2;-8.91
1063;-75.3682;4.4869;4737306.612;2054228.624;2746.043;977439.6266;978064.3004;-847.4288698;222.75506;509.7341029;302.724074;-79.96901405;2.6300245;18.1359;-61.81;-0.00271;122903.9;1.24
1064;-75.3642;4.486;4737759.069;2054119.666;2743.035;977443.16;978064.2878;-846.500601;225.3728414;506.7261029;302.3924718;-77.01963038;2.6300245;17.9598;-59.04;0.00714;123369.4;3.13
1065;-75.3677;4.4822;4737370.234;2053706.813;2666.084;977460.8315;978064.2344;-822.7535224;219.3506471;429.7751029;293.9093853;-74.5587382;2.6300245;16.1236;-58.41;0.01388;123936.6;3.08
1066;-75.3706;4.4783;4737041.309;2053274.724;2572.207;977477.9025;978064.1796;-793.7830802;207.5059474;335.8981029;283.5603748;-76.05442738;2.6300245;14.557;-61.47;0.01322;124479.8;0.83
1067;-75.3726;4.4745;4736823.41;2052857.419;2418.703;977508.6994;978064.1263;-746.4117458;190.9848064;182.3941029;266.6380774;-75.65327103;2.6300245;15.5426;-60.09;0.0012;124950.6;1.45
1068;-75.3719;4.4611;4736892.005;2051368.316;2070.911;977577.5776;978063.9388;-639.0831346;152.7219663;-165.3978971;228.2974501;-75.57548383;2.6300245;17.2289;-58.32;-0.01085;126441.6;2.15
1069;-75.3698;4.4569;4737122.248;2050902.697;2046.454;977582.2191;978063.8801;-631.5357044;149.8747122;-189.8548971;225.6013078;-75.72659566;2.6300245;16.5481;-59.15;0.05189;126961.1;1.6
1070;-75.3655;4.4537;4737596.823;2050550.841;2020.341;977588.2204;978063.8354;-623.4772326;147.8622092;-215.9678971;222.7226079;-74.86039876;2.6300245;14.6719;-60.17;0.14641;127552;0.91
1071;-75.3613;4.4536;4738065.426;2050535.177;1929.967;977604.1039;978063.834;-595.5878162;135.8576881;-306.3418971;212.7597685;-76.90208035;2.6300245;16.026;-60.85;0.11718;128021;0.24
1072;-75.3823;4.4813;4735749.071;2053611.375;2417.413;977505.1292;978064.2217;-746.0136518;186.9211136;181.1041029;266.4958677;-79.57475409;2.6300245;13.656;-65.9;0.01908;131872.5;-3.25
1073;-75.3848;4.4778;4735465.024;2053225.941;2405.89;977509.1817;978064.1726;-742.457654;187.466736;169.5811029;265.2255709;-77.75883487;2.6300245;13.2991;-64.44;0.05905;132351.4;-1.84
1074;-75.3832;4.4734;4735636.843;2052739.402;2390.515;977516.4443;978064.1109;-737.712929;190.0463082;154.2061029;263.5306293;-73.48432104;2.6300245;13.7704;-59.69;0.03222;132867.5;1.48
1075;-75.3891;4.5042;4734999.861;2056142.294;2315.961;977520.2018;978064.5441;-714.7055646;170.3633001;79.65210294;255.3117883;-84.94848822;2.6300245;14.0702;-70.85;0.00418;136330.2;-4.56
1076;-75.3557;4.4545;4738690.03;2050631.249;1884.28;977608.699;978063.8466;-581.488808;126.3412203;-352.0288971;207.7232287;-81.38200838;2.6300245;15.8677;-65.49;0.00271;142963.9;-3.72
1077;-75.3517;4.4519;4739132.767;2050349.165;1903.57;977607.2473;978063.8103;-587.441702;130.8786908;-332.7388971;209.8497604;-78.97106963;2.6300245;12.8318;-66.12;0.00276;143489;-4.35
2000;-75.3801;4.4853;4735995.141;2054055.317;2535.127;977480.179;978064.2779;-782.3401922;198.2412699;298.8181029;279.4726716;-81.2314017;2.6300245;10.9725;-70.24;-0.00274;148345.9;-6.19
2001;-75.3954;4.4802;4734295.394;2053488.413;2380.486;977514.4367;978064.2063;-734.6179796;184.8483833;144.1771029;262.4250312;-77.57664796;2.6300245;17.1781;-60.37;0.00247;150138;0.64
2002;-75.395;4.4855;4734342.082;2054074.614;2390.125;977509.9132;978064.2807;-737.592575;183.2250422;153.8161029;263.4876356;-80.26259342;2.6300245;15.5077;-64.73;0.00851;150726.2;-2.12
2003;-75.3925;4.4936;4734621.797;2054975.716;2417.916;977503.6807;978064.3947;-746.1688776;185.4549148;181.6071029;266.5513184;-81.09640369;2.6300245;12.2344;-68.84;0.00129;151669.9;-4.33
2004;-75.3881;4.4948;4735104.045;2055107.941;2454.086;977494.2288;978064.4116;-757.3309396;187.1481809;217.7771029;270.5387031;-83.39052222;2.6300245;12.3475;-71.02;-0.00647;152170;-5.8
2005;-75.3847;4.4922;4735482.152;2054814.803;2512.749;977481.59;978064.375;-775.4343414;192.6493847;276.4401029;277.0057185;-84.35633376;2.6300245;11.9546;-72.38;-0.0079;152648.6;-7.45
2006;-75.3799;4.4921;4736012.927;2054799.148;2522.927;977481.2453;978064.3735;-778.5752722;195.4470229;286.6181029;278.1277423;-82.68071942;2.6300245;11.0877;-71.57;-0.00544;153179.7;-6.19
2007;-75.3734;4.465;4736730.728;2051808.04;2031.563;977584.2841;978063.9933;-626.9403418;147.2311395;-204.7458971;223.9597224;-76.72858292;2.6300245;17.948;-58.76;-0.00219;156256.3;2.19
2008;-75.3754;4.469;4736502.388;2052249.049;2050.348;977581.08;978064.0493;-632.7373928;149.768109;-185.9608971;226.0305828;-76.26247377;2.6300245;18.4346;-57.81;0.00059;156753;2.86
2009;-75.3799;4.4672;4736001.536;2052046.85;2109.385;977572.3581;978064.0241;-650.956211;159.290225;-126.9238971;232.538828;-73.24860296;2.6300245;15.5064;-57.72;0.00341;157293.3;2.73
